"","ub_06","ub_08","ub_09","ub_10","ub_13","ub_14_r","ub_18","ub_19","ub_20","ub_24","ub_27_r"
"1",1,3,1,2,3,5,0,2,5,4,5
"2",2,2,2,3,2,5,1,2,5,3,5
"3",2,4,2,3,4,2,1,1,1,3,3
"4",0,5,0,3,5,0,2,0,0,4,0
"5",5,2,0,3,2,3,2,4,0,2,5
"6",3,2,2,2,5,3,1,3,2,4,4
"7",5,3,5,4,5,1,0,4,0,4,3
"8",3,5,2,2,4,2,0,5,0,5,4
"9",2,4,2,3,1,5,0,4,5,5,5
"10",1,5,1,4,4,5,1,2,5,4,5
"11",3,2,1,3,3,3,2,4,3,4,3
"12",3,3,3,4,4,5,4,5,3,5,5
"13",3,2,0,2,4,5,0,5,2,4,5
"14",3,4,1,5,4,5,0,1,2,4,5
"15",1,1,1,4,4,4,1,2,1,4,4
"16",1,3,1,2,4,3,0,1,1,4,5
"17",3,5,2,2,2,3,0,2,2,4,3
"18",2,4,1,2,3,2,0,1,2,4,2
"19",5,5,0,5,5,3,0,2,2,2,3
"20",0,2,0,2,3,3,0,1,1,4,3
"21",4,5,5,3,3,4,0,3,4,4,5
"22",1,0,0,0,5,2,0,0,0,3,3
"23",4,0,2,4,4,2,1,1,1,4,3
"24",5,5,0,1,5,3,0,4,0,4,4
"25",1,3,2,4,5,5,1,1,5,4,5
"26",5,4,5,5,5,2,1,5,0,5,5
"27",2,2,4,5,3,5,3,4,5,3,5
"28",3,5,1,2,5,2,2,3,2,5,3
"29",3,3,1,2,3,1,0,1,2,4,3
"30",1,1,1,1,2,1,1,3,1,3,3
"31",2,4,1,2,5,5,2,3,4,3,5
"32",2,1,2,4,4,5,3,5,3,4,5
"33",1,2,0,3,4,3,1,3,2,3,4
"34",2,0,1,0,0,0,0,0,0,4,3
"35",0,2,0,3,4,2,4,0,2,3,2
"36",4,4,2,4,5,4,1,2,2,4,4
"37",3,4,1,0,5,4,0,1,3,2,4
"38",4,4,2,2,4,3,1,3,3,4,3
"39",4,3,2,3,3,1,1,3,0,3,4
"40",5,4,1,2,4,2,1,3,3,3,4
"41",0,1,0,0,5,4,1,0,1,3,4
"42",4,4,5,1,3,3,0,1,2,2,3
"43",1,2,0,3,0,1,0,0,0,3,2
"44",0,4,0,2,2,1,0,3,1,3,2
"45",4,3,0,3,3,2,0,1,1,3,2
"46",3,4,1,3,4,3,1,3,2,5,3
"47",0,1,0,4,5,5,0,0,5,5,5
"48",3,2,2,4,3,3,3,3,2,4,4
"49",4,4,1,4,4,4,4,2,3,3,4
"50",5,5,1,5,5,5,3,5,3,5,5
"51",3,2,3,4,2,2,1,2,1,3,3
"52",1,0,1,4,3,0,0,1,0,3,5
"53",1,5,0,4,4,5,4,3,3,5,5
"54",3,2,1,4,1,2,1,2,1,2,3
"55",1,0,2,3,3,2,0,2,0,3,5
"56",0,1,0,2,0,0,0,0,0,0,0
"57",5,3,1,3,3,2,0,3,2,4,4
"58",2,2,1,4,2,3,3,0,0,3,4
"59",0,3,0,0,4,3,0,0,2,3,0
"60",5,5,1,5,5,4,2,2,2,4,4
"61",5,3,1,1,3,2,1,1,1,4,3
"62",4,4,2,3,3,2,2,2,2,4,4
"63",2,0,3,4,5,2,3,3,1,5,3
"64",3,1,0,2,3,4,1,4,4,3,4
"65",5,5,3,2,5,5,1,5,5,4,5
"66",5,5,2,0,3,2,1,2,1,5,3
"67",4,3,2,4,5,2,1,3,2,5,5
"68",4,3,0,3,5,5,1,4,3,4,5
"69",3,1,1,3,4,4,0,1,3,3,4
"70",3,4,1,2,1,2,1,0,0,5,2
"71",3,4,2,5,4,3,0,3,4,4,4
"72",4,2,1,4,2,1,0,2,1,5,4
"73",5,5,3,5,3,5,2,3,3,3,5
"74",1,3,0,2,3,3,1,0,2,4,3
"75",5,5,1,4,5,5,1,2,3,4,5
"76",5,5,3,4,5,4,0,1,4,5,5
"77",1,1,1,2,2,2,1,2,1,4,4
"78",2,4,1,3,3,2,4,1,2,4,3
"79",4,3,2,5,4,2,3,3,2,5,3
"80",2,4,3,3,5,5,2,4,3,3,5
"81",2,2,1,2,5,2,2,2,2,2,3
"82",1,1,0,5,5,2,1,0,3,4,4
"83",2,3,2,2,3,3,2,2,2,5,3
"84",0,3,0,3,3,2,1,1,0,4,2
"85",4,0,1,1,4,3,1,1,3,4,4
"86",3,4,1,4,5,3,2,3,0,5,4
"87",1,2,0,5,5,2,2,2,1,4,2
"88",4,2,0,3,4,5,2,3,4,5,5
"89",1,4,3,5,2,3,4,1,1,3,3
"90",3,4,1,5,4,5,2,4,2,5,5
"91",1,4,2,2,5,2,1,1,2,3,3
"92",4,5,4,5,5,3,2,2,2,4,3
"93",3,3,0,3,5,3,1,0,3,4,5
"94",0,3,1,3,3,2,0,5,2,5,5
"95",4,3,2,3,2,3,3,3,3,4,4
"96",4,4,3,2,5,2,1,4,1,4,4
"97",5,4,4,4,4,3,1,4,1,4,4
"98",1,0,1,1,5,5,1,1,3,5,5
"99",5,3,2,3,4,3,1,1,2,4,4
"100",4,5,3,5,4,2,0,1,2,4,4
"101",1,4,3,3,5,1,2,2,1,2,1
